terminal_id,tanggal,jumlah_kontainer,NON MITA,MITA,HIJAU,MERAH,KUNING,NON,BORDER,POST-BORDER,BORDER_POST-BORDER,lartas N,lartas Y,lartas NA,KARANTINA TUMBUHAN,KARANTINA HEWAN,KARANTINA IKAN,PRENO,NON_PRENO,avg_dt
JICT,2018-08-16,1844,1539,303,1603,167,74,617,560,501,166,1118,726,1565,253,26,0,1074,770,3.76
JICT,2018-08-17,2735,1981,748,2318,348,69,779,930,945,81,1724,1011,2468,237,30,0,1268,1467,3.93
JICT,2018-08-18,1482,1253,229,1301,118,63,495,293,679,15,1174,308,1366,97,19,0,226,1256,5.04
JICT,2018-08-19,1803,899,902,1656,103,44,423,833,374,173,797,1006,1495,235,73,0,158,1645,4.26
JICT,2018-08-20,2087,1712,375,1768,219,100,918,417,651,101,1567,520,1926,93,31,37,738,1349,4.01
JICT,2018-08-21,1843,1540,303,1576,177,90,818,332,623,70,1441,402,1642,181,7,13,867,976,4.04
JICT,2018-08-22,1019,784,235,944,49,26,247,603,105,64,352,667,718,259,42,0,264,755,3.63
JICT,2018-08-23,1903,1572,331,1652,154,97,698,598,590,17,1288,615,1812,70,8,13,579,1324,3.58
JICT,2018-08-24,1769,1302,466,1498,194,77,475,651,555,88,1030,739,1438,316,15,0,666,1103,3.37
JICT,2018-08-25,3283,2715,568,2891,312,80,900,1041,1233,109,2133,1150,3069,145,69,0,867,2416,4.48
JICT,2018-08-26,1927,1121,806,1804,82,41,382,1113,313,119,695,1232,1458,291,156,22,412,1515,3.81
JICT,2018-08-27,491,319,172,399,80,12,142,178,161,10,303,188,431,34,26,0,131,360,3.87
JICT,2018-08-28,1751,1499,252,1440,226,85,797,150,710,94,1507,244,1670,72,9,0,803,948,2.76
